ìÂ;ìÀ
3.08372100;3.0837E-03
3.08372100;3.0837E-03
3.08372100;3.0837E-03
3.08372100;3.0837E-03
3.08372100;3.0837E-03
3.08372100;3.0837E-03
3.08372100;3.0837E-03
3.08372100;3.0837E-03
3.08372100;3.0837E-03
3.08372100;3.0837E-03
3.08372100;3.0837E-03
3.08372100;3.0837E-03
3.08372100;3.0837E-03
3.08372100;3.0837E-03
3.08372100;3.0837E-03
3.08372100;3.0837E-03
3.08395900;3.0840E-03
3.08395900;3.0840E-03
3.08395900;3.0840E-03
3.08395900;3.0840E-03
3.08395900;3.0840E-03
3.08395900;3.0840E-03
3.08395900;3.0840E-03
3.08395900;3.0840E-03
3.08395900;3.0840E-03
3.08395900;3.0840E-03
3.08395900;3.0840E-03
3.08419800;3.0842E-03
3.08419800;3.0842E-03
3.08419800;3.0842E-03
3.08419800;3.0842E-03
3.08419800;3.0842E-03
3.08419800;3.0842E-03
3.08419800;3.0842E-03
3.08419800;3.0842E-03
3.08419800;3.0842E-03
3.08443600;3.0844E-03
3.08443600;3.0844E-03
3.08443600;3.0844E-03
3.08443600;3.0844E-03
3.08443600;3.0844E-03
3.08443600;3.0844E-03
3.08443600;3.0844E-03
3.08443600;3.0844E-03
3.08443600;3.0844E-03
3.08443600;3.0844E-03
3.08467400;3.0847E-03
3.08467400;3.0847E-03
3.08467400;3.0847E-03
3.08467400;3.0847E-03
3.08467400;3.0847E-03
3.08467400;3.0847E-03
3.08467400;3.0847E-03
3.08467400;3.0847E-03
3.08467400;3.0847E-03
3.08491300;3.0849E-03
3.08491300;3.0849E-03
3.08491300;3.0849E-03
3.08491300;3.0849E-03
3.08491300;3.0849E-03
3.08491300;3.0849E-03
3.08491300;3.0849E-03
3.08491300;3.0849E-03
3.08491300;3.0849E-03
3.08491300;3.0849E-03
3.08491300;3.0849E-03
3.08491300;3.0849E-03
3.08491300;3.0849E-03
3.08491300;3.0849E-03
3.08491300;3.0849E-03
3.08491300;3.0849E-03
3.08491300;3.0849E-03
3.08491300;3.0849E-03
3.08491300;3.0849E-03
3.08491300;3.0849E-03
3.08491300;3.0849E-03
3.08515100;3.0852E-03
3.08515100;3.0852E-03
3.08515100;3.0852E-03
3.08515100;3.0852E-03
3.08515100;3.0852E-03
3.08515100;3.0852E-03
3.08515100;3.0852E-03
3.08515100;3.0852E-03
3.08539000;3.0854E-03
3.08539000;3.0854E-03
3.08539000;3.0854E-03
3.08539000;3.0854E-03
3.08539000;3.0854E-03
3.08539000;3.0854E-03
3.08562800;3.0856E-03
3.08562800;3.0856E-03
3.08562800;3.0856E-03
3.08562800;3.0856E-03
3.08562800;3.0856E-03
3.08562800;3.0856E-03
3.08562800;3.0856E-03
3.08562800;3.0856E-03
3.08586700;3.0859E-03
3.08586700;3.0859E-03
3.08586700;3.0859E-03
3.08610500;3.0861E-03
3.08610500;3.0861E-03
3.08610500;3.0861E-03
3.08610500;3.0861E-03
3.08610500;3.0861E-03
3.08610500;3.0861E-03
3.08610500;3.0861E-03
3.08610500;3.0861E-03
3.08610500;3.0861E-03
3.08610500;3.0861E-03
3.08634300;3.0863E-03
3.08658200;3.0866E-03
3.08658200;3.0866E-03
3.08658200;3.0866E-03
3.08658200;3.0866E-03
3.08682000;3.0868E-03
3.08682000;3.0868E-03
3.08705900;3.0871E-03
3.08705900;3.0871E-03
3.08705900;3.0871E-03
3.08705900;3.0871E-03
3.08705900;3.0871E-03
3.08729700;3.0873E-03
3.08753600;3.0875E-03
3.08753600;3.0875E-03
3.08777400;3.0878E-03
3.08777400;3.0878E-03
3.08777400;3.0878E-03
3.08777400;3.0878E-03
3.08825100;3.0883E-03
3.08825100;3.0883E-03
3.08825100;3.0883E-03
3.08825100;3.0883E-03
3.08848900;3.0885E-03
3.08872800;3.0887E-03
3.08872800;3.0887E-03
3.08872800;3.0887E-03
3.08872800;3.0887E-03
3.08872800;3.0887E-03
3.08872800;3.0887E-03
3.08872800;3.0887E-03
3.08872800;3.0887E-03
3.08872800;3.0887E-03
3.08872800;3.0887E-03
3.08872800;3.0887E-03
3.08872800;3.0887E-03
3.08896600;3.0890E-03
3.08896600;3.0890E-03
3.08920400;3.0892E-03
3.08944300;3.0894E-03
3.08944300;3.0894E-03
3.08944300;3.0894E-03
3.08944300;3.0894E-03
3.08944300;3.0894E-03
3.08944300;3.0894E-03
3.08968100;3.0897E-03
3.08968100;3.0897E-03
3.08992000;3.0899E-03
3.08992000;3.0899E-03
3.08992000;3.0899E-03
3.08992000;3.0899E-03
3.08992000;3.0899E-03
3.08992000;3.0899E-03
3.08992000;3.0899E-03
3.08992000;3.0899E-03
3.08992000;3.0899E-03
3.09015800;3.0902E-03
3.09015800;3.0902E-03
3.09015800;3.0902E-03
3.09039700;3.0904E-03
3.09039700;3.0904E-03
3.09039700;3.0904E-03
3.09039700;3.0904E-03
3.09063500;3.0906E-03
3.09063500;3.0906E-03
3.09087300;3.0909E-03
3.09087300;3.0909E-03
3.09111200;3.0911E-03
3.09111200;3.0911E-03
3.09111200;3.0911E-03
3.09111200;3.0911E-03
3.09111200;3.0911E-03
3.09111200;3.0911E-03
3.09135000;3.0914E-03
3.09135000;3.0914E-03
3.09158900;3.0916E-03
3.09158900;3.0916E-03
3.09158900;3.0916E-03
3.09158900;3.0916E-03
3.09158900;3.0916E-03
3.09158900;3.0916E-03
3.09158900;3.0916E-03
3.09158900;3.0916E-03
3.09158900;3.0916E-03
3.09182700;3.0918E-03
3.09182700;3.0918E-03
3.09182700;3.0918E-03
3.09182700;3.0918E-03
3.09206500;3.0921E-03
