ìÂ;ìÀ
3.22915600;3.2292E-03
3.22915600;3.2292E-03
3.22915600;3.2292E-03
3.22915600;3.2292E-03
3.22939500;3.2294E-03
3.22963300;3.2296E-03
3.22963300;3.2296E-03
3.22963300;3.2296E-03
3.22963300;3.2296E-03
3.22963300;3.2296E-03
3.22963300;3.2296E-03
3.22963300;3.2296E-03
3.22963300;3.2296E-03
3.22987100;3.2299E-03
3.22987100;3.2299E-03
3.22987100;3.2299E-03
3.22987100;3.2299E-03
3.23011000;3.2301E-03
3.23011000;3.2301E-03
3.23034800;3.2303E-03
3.23034800;3.2303E-03
3.23058700;3.2306E-03
3.23058700;3.2306E-03
3.23058700;3.2306E-03
3.23082500;3.2308E-03
3.23082500;3.2308E-03
3.23106300;3.2311E-03
3.23106300;3.2311E-03
3.23106300;3.2311E-03
3.23106300;3.2311E-03
3.23106300;3.2311E-03
3.23106300;3.2311E-03
3.23130200;3.2313E-03
3.23130200;3.2313E-03
3.23130200;3.2313E-03
3.23130200;3.2313E-03
3.23130200;3.2313E-03
3.23130200;3.2313E-03
3.23130200;3.2313E-03
3.23154000;3.2315E-03
3.23154000;3.2315E-03
3.23154000;3.2315E-03
3.23154000;3.2315E-03
3.23154000;3.2315E-03
3.23154000;3.2315E-03
3.23154000;3.2315E-03
3.23154000;3.2315E-03
3.23154000;3.2315E-03
3.23154000;3.2315E-03
3.23154000;3.2315E-03
3.23154000;3.2315E-03
3.23154000;3.2315E-03
3.23177900;3.2318E-03
3.23177900;3.2318E-03
3.23177900;3.2318E-03
3.23177900;3.2318E-03
3.23177900;3.2318E-03
3.23177900;3.2318E-03
3.23177900;3.2318E-03
3.23177900;3.2318E-03
3.23201700;3.2320E-03
3.23201700;3.2320E-03
3.23201700;3.2320E-03
3.23201700;3.2320E-03
3.23201700;3.2320E-03
3.23201700;3.2320E-03
3.23201700;3.2320E-03
3.23201700;3.2320E-03
3.23201700;3.2320E-03
3.23201700;3.2320E-03
3.23201700;3.2320E-03
3.23201700;3.2320E-03
3.23201700;3.2320E-03
3.23201700;3.2320E-03
3.23225600;3.2323E-03
3.23225600;3.2323E-03
3.23225600;3.2323E-03
3.23225600;3.2323E-03
3.23225600;3.2323E-03
3.23225600;3.2323E-03
3.23225600;3.2323E-03
3.23225600;3.2323E-03
3.23225600;3.2323E-03
3.23225600;3.2323E-03
3.23225600;3.2323E-03
3.23225600;3.2323E-03
3.23225600;3.2323E-03
3.23225600;3.2323E-03
3.23225600;3.2323E-03
3.23225600;3.2323E-03
3.23225600;3.2323E-03
3.23225600;3.2323E-03
3.23225600;3.2323E-03
3.23225600;3.2323E-03
3.23225600;3.2323E-03
3.23225600;3.2323E-03
3.23225600;3.2323E-03
3.23225600;3.2323E-03
3.23225600;3.2323E-03
3.23225600;3.2323E-03
3.23225600;3.2323E-03
3.23249400;3.2325E-03
3.23249400;3.2325E-03
3.23249400;3.2325E-03
3.23249400;3.2325E-03
3.23249400;3.2325E-03
3.23249400;3.2325E-03
3.23249400;3.2325E-03
3.23249400;3.2325E-03
3.23273200;3.2327E-03
3.23273200;3.2327E-03
3.23273200;3.2327E-03
3.23273200;3.2327E-03
3.23273200;3.2327E-03
3.23273200;3.2327E-03
3.23273200;3.2327E-03
3.23273200;3.2327E-03
3.23273200;3.2327E-03
3.23273200;3.2327E-03
3.23273200;3.2327E-03
3.23273200;3.2327E-03
3.23273200;3.2327E-03
3.23273200;3.2327E-03
3.23273200;3.2327E-03
3.23273200;3.2327E-03
3.23273200;3.2327E-03
3.23273200;3.2327E-03
3.23273200;3.2327E-03
3.23273200;3.2327E-03
3.23273200;3.2327E-03
3.23273200;3.2327E-03
3.23273200;3.2327E-03
3.23273200;3.2327E-03
3.23273200;3.2327E-03
3.23273200;3.2327E-03
3.23273200;3.2327E-03
3.23273200;3.2327E-03
3.23273200;3.2327E-03
3.23273200;3.2327E-03
3.23273200;3.2327E-03
3.23273200;3.2327E-03
3.23273200;3.2327E-03
3.23273200;3.2327E-03
3.23297100;3.2330E-03
3.23297100;3.2330E-03
3.23297100;3.2330E-03
3.23297100;3.2330E-03
3.23297100;3.2330E-03
3.23297100;3.2330E-03
3.23297100;3.2330E-03
3.23297100;3.2330E-03
3.23297100;3.2330E-03
3.23320900;3.2332E-03
3.23320900;3.2332E-03
3.23320900;3.2332E-03
3.23320900;3.2332E-03
3.23320900;3.2332E-03
3.23320900;3.2332E-03
3.23320900;3.2332E-03
3.23320900;3.2332E-03
3.23320900;3.2332E-03
3.23320900;3.2332E-03
3.23320900;3.2332E-03
3.23320900;3.2332E-03
3.23320900;3.2332E-03
3.23320900;3.2332E-03
3.23320900;3.2332E-03
3.23320900;3.2332E-03
3.23320900;3.2332E-03
3.23320900;3.2332E-03
3.23320900;3.2332E-03
3.23320900;3.2332E-03
3.23320900;3.2332E-03
3.23320900;3.2332E-03
3.23320900;3.2332E-03
3.23320900;3.2332E-03
3.23320900;3.2332E-03
3.23320900;3.2332E-03
3.23320900;3.2332E-03
3.23320900;3.2332E-03
3.23320900;3.2332E-03
3.23320900;3.2332E-03
3.23320900;3.2332E-03
3.23320900;3.2332E-03
3.23320900;3.2332E-03
3.23320900;3.2332E-03
3.23344800;3.2334E-03
3.23344800;3.2334E-03
3.23344800;3.2334E-03
3.23344800;3.2334E-03
3.23344800;3.2334E-03
3.23344800;3.2334E-03
3.23344800;3.2334E-03
3.23344800;3.2334E-03
3.23344800;3.2334E-03
3.23344800;3.2334E-03
3.23368600;3.2337E-03
3.23368600;3.2337E-03
3.23368600;3.2337E-03
3.23392500;3.2339E-03
